"Sample.Size","Mixing","Separation","Strategy","param","Class 1","Class 2","Class 3"
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-CART","Y2",0.687713437085444,0.378899019946528,0.490918838823786
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-RF","Y2",0.364193852173537,0.305551740629455,0.806486486452176
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Complete data","Y2",-0.156599690880989,-0.0275116047192342,-0.00296916327281362
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","FIML","Y2",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y2",-21.2681049616893,-4.60604725977412,1.29215059940465
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y2",-9.75535826893354,-0.893380567725138,1.12896729053282
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-PMM","Y2",-3.29886800618238,0.120947285754682,0.924580390256878
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-CART","Y2",-0.597421947449768,0.119391524303993,0.38714259254808
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-RF","Y2",-1.58963833075734,0.0418499805671479,0.809200699273158
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Complete data","Y3",0.399594336768868,-0.0177705599036725,0.0211370375433017
"Small Sample (N=300)","Equal Mix.","Weakly Separated","FIML","Y3",1,1,1
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y3",-0.79108878659921,2.1077295159829,0.130665533960964
"Small Sample (N=300)","Equal Mix.","Weakly Separated","EMS-MVN.","Y3",1.11223876065621,-0.00474259088155757,0.798974730036978
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-PMM","Y3",1.15669532456123,0.095165536573386,0.690300487254919
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-CART","Y3",1.40486732882352,0.0825722674336227,0.374210815614186
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-RF","Y3",1.18930905972686,0.624061977676537,0.506404956866508
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Complete data","Y3",-0.0581373220674431,-0.10942495417537,-0.02501814192181
"Small Sample (N=300)","Equal Mix.","Strongly Separated","FIML","Y3",1,1,1
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y3",-1.45444688120971,1.74310966469562,0.13109167430253
"Small Sample (N=300)","Equal Mix.","Strongly Separated","EMS-MVN.","Y3",0.957411586719893,0.217035620065268,0.713360839746892
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-PMM","Y3",1.17985216960073,0.3584363370755,0.649537180310831
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-CART","Y3",0.799272986962442,0.512499386598747,0.23775871683526
